name,strand,pos,count,pred_mean_scaled,std_dev_scal,max_scaled,min_scaled,pval_top,pval_bottom,zscore_scal,scal_factor_l,scal_factor_r
AHR,Diff,-19.5,56.0,63.8025002228905,7.740835810700245,94.1588391804824,36.72194728038813,0.8426,0.1574,-1.0079661179606794,0.941588391804824,0.985173973179448
AHR,Diff,-18.5,70.0,58.41049429722093,7.477216799596355,88.50930882965345,32.95559371316884,0.0617,0.9383,1.5499758816482,0.941588391804824,0.985173973179448
AHR,Diff,-17.5,62.0,59.62862719969869,7.502472163005183,93.21725078867756,32.01400532136401,0.3786,0.6214,0.3160788535382399,0.941588391804824,0.985173973179448
AHR,Diff,-16.5,40.0,62.59397152200907,7.724342669658767,93.21725078867756,37.66353567219296,0.9988,0.0012,-2.9250348521995537,0.941588391804824,0.985173973179448
AHR,Diff,-15.5,63.0,62.73624552801076,7.7132758373016115,94.1588391804824,35.78035888858331,0.496,0.504,0.0341948709625456,0.941588391804824,0.985173973179448
AHR,Diff,-14.5,81.0,68.65139796416773,8.134310075537769,101.69154631492098,39.546712455802606,0.0611,0.9389,1.5180884327793225,0.941588391804824,0.985173973179448
AHR,Diff,-13.5,63.0,69.51803591998477,8.093054450283832,97.92519274770169,40.48830084760743,0.8037,0.1963,-0.8053863914076085,0.941588391804824,0.985173973179448
AHR,Diff,-12.5,44.0,69.35165725115297,8.072310625923121,101.69154631492098,39.546712455802606,0.9998,0.0002,-3.1405700824493823,0.941588391804824,0.985173973179448
AHR,Diff,-11.5,73.0,62.25829526033061,7.679069324295929,96.04201596409204,30.130828537754365,0.0842,0.9158,1.3988289836484102,0.941588391804824,0.985173973179448
AHR,Diff,-10.5,61.0,63.186607255811055,7.730424607234148,96.04201596409204,33.89718210497366,0.6164,0.3836,-0.2828573288822926,0.941588391804824,0.985173973179448
AHR,Diff,-9.5,86.0,64.60501600922555,7.767954840719834,92.27566239687276,32.01400532136401,0.0041,0.9959,2.7542621483671725,0.941588391804824,0.985173973179448
AHR,Diff,-8.5,75.0,68.7410371790671,8.0967385186299,99.80836953131131,42.37147763121708,0.2218,0.7782,0.7730227184388547,0.941588391804824,0.985173973179448
AHR,Diff,-7.5,73.0,73.51611439042765,8.329989550130168,105.45789988214028,45.196242806631545,0.5214,0.4786,-0.0619585879741736,0.941588391804824,0.985173973179448
AHR,Diff,-6.5,79.0,77.93009245353025,8.571243814114883,112.04901862477404,42.37147763121708,0.4618,0.5382,0.1248252376840606,0.941588391804824,0.985173973179448
AHR,Diff,-5.5,68.0,73.7827722229865,8.247585752588925,105.45789988214028,44.25465441482672,0.7474,0.2526,-0.7011472685167449,0.941588391804824,0.985173973179448
AHR,Diff,-4.5,60.0,71.81362841920509,8.177747875811901,103.57472309853064,41.429889239412255,0.9326,0.0674,-1.4446065832749342,0.941588391804824,0.985173973179448
AHR,Diff,-3.5,44.0,49.63526712095675,6.892400712307399,81.91819008701968,28.24765175414472,0.8001,0.1999,-0.8176058466938145,0.941588391804824,0.985173973179448
AHR,Diff,-2.5,23.0,24.65718689851504,4.762153797650607,45.196242806631545,9.41588391804824,0.6182,0.3818,-0.34799104955086,0.941588391804824,0.985173973179448
AHR,Diff,-1.5,20.0,18.27820802055394,4.139628492727489,34.83877049677849,5.649530350828943,0.3059,0.6941,0.4159291062120622,0.941588391804824,0.985173973179448
AHR,Diff,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.941588391804824,0.985173973179448
AHR,Diff,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.941588391804824,0.985173973179448
AHR,Diff,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.941588391804824,0.985173973179448
AHR,Diff,2.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.941588391804824,0.985173973179448
AHR,Diff,3.5,95.0,107.00900586236835,10.417772278899196,146.79092200373773,72.90287401527914,0.8761,0.1239,-1.152742212031205,0.941588391804824,0.985173973179448
